trip_id,arrival_time,departure_time,stop_id,stop_sequence
R003T001,07:00:00,07:00:00,S014,10
R003T001,07:05:00,07:05:00,S015,11
R003T002,10:15:00,10:15:00,S003,1
R003T002,10:20:00,10:20:00,S018,2
R003T002,10:25:00,10:25:00,S020,3
R003T002,10:30:00,10:30:00,S033,4
R003T002,10:35:00,10:35:00,S035,5
R003T002,10:40:00,10:40:00,S034,6
R003T002,10:45:00,10:45:00,S002,7
R003T002,10:50:00,10:50:00,S012,8
R003T002,10:55:00,10:55:00,S013,9
R003T002,11:00:00,11:00:00,S014,10
R003T002,11:05:00,11:05:00,S015,11
R003T003,16:15:00,16:15:00,S003,1
R003T003,16:20:00,16:20:00,S018,2
R003T003,16:25:00,16:25:00,S020,3
R003T003,16:30:00,16:30:00,S033,4
R003T003,16:35:00,16:35:00,S035,5
R003T003,16:40:00,16:40:00,S034,6
R003T003,16:45:00,16:45:00,S002,7
R003T003,16:50:00,16:50:00,S012,8
R003T003,16:55:00,16:55:00,S013,9
R003T003,17:00:00,17:00:00,S014,10
R003T003,17:05:00,17:05:00,S015,11
R004T001,06:45:00,06:45:00,S035,1
R004T001,06:50:00,06:50:00,S033,2
R004T001,06:55:00,06:55:00,S034,3
R004T001,07:00:00,07:00:00,S002,4
R004T001,07:05:00,07:05:00,S012,5
R004T001,07:10:00,07:10:00,S013,6
R004T001,07:15:00,07:15:00,S014,7
R004T001,07:20:00,07:20:00,S030,8
R004T001,07:25:00,07:25:00,S027,9
R004T002,10:45:00,10:45:00,S035,1
R004T002,10:50:00,10:50:00,S033,2
R004T002,10:55:00,10:55:00,S034,3
R004T002,11:00:00,11:00:00,S002,4
R004T002,11:05:00,11:05:00,S012,5
R004T002,11:10:00,11:10:00,S013,6
R004T002,11:15:00,11:15:00,S014,7
R004T002,11:20:00,11:20:00,S030,8
R004T002,11:25:00,11:25:00,S027,9
R004T003,16:45:00,16:45:00,S035,1
R004T003,16:50:00,16:50:00,S033,2
R004T003,16:55:00,16:55:00,S034,3
R004T003,17:00:00,17:00:00,S002,4
R004T003,17:05:00,17:05:00,S012,5
R004T003,17:10:00,17:10:00,S013,6
R004T003,17:15:00,17:15:00,S014,7
R004T003,17:20:00,17:20:00,S030,8
R004T003,17:25:00,17:25:00,S027,9
R005T001,07:00:00,07:00:00,S001,1
R005T001,07:05:00,07:05:00,S031,2
R005T001,07:10:00,07:10:00,S032,3
R005T001,07:15:00,07:15:00,S027,4
R005T001,07:20:00,07:20:00,S030,5
R005T001,07:25:00,07:25:00,S029,6
R005T001,07:30:00,07:30:00,S028,7
R005T002,10:00:00,10:00:00,S001,1
R005T002,10:05:00,10:05:00,S031,2
R005T002,10:10:00,10:10:00,S032,3
R005T002,10:15:00,10:15:00,S027,4
R005T002,10:20:00,10:20:00,S030,5
R005T002,10:25:00,10:25:00,S029,6
R005T002,10:30:00,10:30:00,S028,7
R005T003,16:00:00,16:00:00,S001,1
R005T003,16:05:00,16:05:00,S031,2
R005T003,16:10:00,16:10:00,S032,3
R005T003,16:15:00,16:15:00,S027,4
R005T003,16:20:00,16:20:00,S030,5
R005T003,16:25:00,16:25:00,S029,6
R005T003,16:30:00,16:30:00,S028,7
R006T001,06:20:00,06:20:00,S010,1
R006T001,06:25:00,06:25:00,S011,2
R006T001,06:30:00,06:30:00,S042,3
R006T001,06:35:00,06:35:00,S008,4
R006T001,06:40:00,06:40:00,S041,5
R006T001,06:45:00,06:45:00,S021,6
R006T001,06:50:00,06:50:00,S007,7
R006T002,10:20:00,10:20:00,S010,1
R006T002,10:25:00,10:25:00,S011,2
R006T002,10:30:00,10:30:00,S042,3
R006T002,10:35:00,10:35:00,S008,4
R006T002,10:40:00,10:40:00,S041,5
R006T002,10:45:00,10:45:00,S021,6
R006T002,10:50:00,10:50:00,S007,7
R006T003,16:20:00,16:20:00,S010,1
R006T003,16:25:00,16:25:00,S011,2
R006T003,16:30:00,16:30:00,S042,3
R006T003,16:35:00,16:35:00,S008,4
R006T003,16:40:00,16:40:00,S041,5
R006T003,16:45:00,16:45:00,S021,6
R006T003,16:50:00,16:50:00,S007,7
R007T001,07:15:00,07:15:00,S013,1
R007T001,07:20:00,07:20:00,S014,2
R007T001,07:25:00,07:25:00,S015,3
R007T001,07:30:00,07:30:00,S016,4
R007T001,07:35:00,07:35:00,S017,5
R007T001,07:40:00,07:40:00,S025,6
R007T002,10:15:00,10:15:00,S013,1
R007T002,10:20:00,10:20:00,S014,2
R007T002,10:25:00,10:25:00,S015,3
R007T002,10:30:00,10:30:00,S016,4
R007T002,10:35:00,10:35:00,S017,5
R007T002,10:40:00,10:40:00,S025,6
R007T003,16:15:00,16:15:00,S013,1
R007T003,16:20:00,16:20:00,S014,2
R007T003,16:25:00,16:25:00,S015,3
R007T003,16:30:00,16:30:00,S016,4
R007T003,16:35:00,16:35:00,S017,5
R007T003,16:40:00,16:40:00,S025,6
R008T001,06:10:00,06:10:00,S006,1
R008T001,06:15:00,06:15:00,S038,2
R008T001,06:20:00,06:20:00,S005,3
R008T001,06:25:00,06:25:00,S041,4
R008T001,06:30:00,06:30:00,S008,5
R008T001,06:35:00,06:35:00,S039,6
R008T002,10:10:00,10:10:00,S006,1
R008T002,10:15:00,10:15:00,S038,2
R008T002,10:20:00,10:20:00,S005,3
R008T002,10:25:00,10:25:00,S041,4
R008T002,10:30:00,10:30:00,S008,5
R008T002,10:35:00,10:35:00,S039,6
R008T003,16:10:00,16:10:00,S006,1
R008T003,16:15:00,16:15:00,S038,2
R008T003,16:20:00,16:20:00,S005,3
R008T003,16:25:00,16:25:00,S041,4
R008T003,16:30:00,16:30:00,S008,5
R008T003,16:35:00,16:35:00,S039,6
